Index,"	Name","	Description","	Quantity"
1,"	top				","3/4 inch plywood 16""x70""					",1
2,"	shelf			","3/4 inch plywood 16""x70"" with 1.5"" cutouts	",1
3,"	leg				","2x2 (1.5""x1.5"") 18.25""						",6
4,"	short support	","2x2 (1.5""x1.5"") 13""						",6
5,"	long support	","2x2 (1.5""x1.5"") 32.75""						",8
